Time	Time Iteration	FSI Iteration	q1	qdot1	qddot1	q2	qdot2	qddot2
0	0	1	0	0	0	0	0	0
0.001	1	2	1.65E-05	0.030975848	55.75652584	-7.32E-06	-0.01372178	-24.69920439
0.002	2	1	7.43E-05	0.083588491	55.67318905	-3.29E-05	-0.037063701	-24.72601477
0.003	3	1	0.000185699	0.139182335	55.52203484	-8.24E-05	-0.061761072	-24.67713695
0.004	4	0	0.000352591	0.194610648	55.33822041	-0.000156436	-0.086410586	-24.62252771
0.005	5	1	0.000574813	0.249844623	55.13219805	-0.000255146	-0.111011948	-24.57896893
0.006	6	1	0.000852148	0.304839042	54.86359246	-0.000378416	-0.135531622	-24.46788174
0.007	7	1	0.001184329	0.35953975	54.54353949	-0.000526145	-0.159934091	-24.33902932
0.008	8	1	0.001571053	0.413925448	54.22741921	-0.000698222	-0.184226316	-24.24189667
0.009	9	1	0.002011986	0.467960619	53.84976124	-0.000894533	-0.208401998	-24.11299755
0.01	10	1	0.002506753	0.521596022	53.42615064	-0.00111495	-0.232438791	-23.96293843
0.011	11	1	0.00305493	0.574783662	52.95447039	-0.001359318	-0.256307182	-23.77774724
0.012	12	1	0.003656042	0.627468103	52.42125001	-0.001627454	-0.279976909	-23.56479307
0.013	13	1	0.004309572	0.679621588	51.88595062	-0.001919167	-0.303458765	-23.39420924
0.014	14	1	0.00501497	0.731206281	51.29015742	-0.002234265	-0.326748331	-23.18879405
0.015	15	1	0.005771588	0.782072171	50.46689644	-0.002572508	-0.349753828	-22.83831757
0.016	16	1	0.006578752	0.832290654	49.93742577	-0.00293364	-0.372523254	-22.67926588
0.017	17	1	0.007435758	0.881763764	49.04871081	-0.003317399	-0.395011539	-22.31959466
0.018	18	1	0.008341835	0.930435359	48.28103055	-0.003723495	-0.417197014	-22.04221125
0.019	19	1	0.009296194	0.978325319	47.50033544	-0.004151637	-0.439102995	-21.76925904
0.02	20	1	0.010298037	1.025406225	46.66729233	-0.004601543	-0.460724721	-21.47640411
0.021	21	1	0.011346537	1.071640757	45.80502083	-0.005072919	-0.482044254	-21.16475146
0.022	22	1	0.012440816	1.116968207	44.85916462	-0.005565449	-0.503034248	-20.81902251
0.023	23	1	0.013579952	1.161357483	43.91878101	-0.006078799	-0.523683745	-20.47930379
0.024	24	1	0.014762998	1.204786788	42.94368513	-0.006612623	-0.543983961	-20.12297274
0.025	25	1	0.015989037	1.247340447	42.14412777	-0.00716661	-0.564004932	-19.90373715
0.026	26	1	0.017257094	1.288833173	40.89164991	-0.007740417	-0.583631977	-19.38376863
0.027	27	1	0.018566144	1.329321856	40.04106052	-0.008333696	-0.602943717	-19.20211943
0.028	28	1	0.019915184	1.368813742	38.96748888	-0.008946117	-0.62191579	-18.76987148
0.029	29	1	0.021303163	1.407207127	37.82674412	-0.009577294	-0.64046336	-18.32650415
0.03	30	1	0.02272896	1.444451002	36.66350595	-0.010226803	-0.658578701	-17.9020723
0.031	31	1	0.024191412	1.480518195	35.47381882	-0.010894215	-0.676268526	-17.47758575
0.032	32	1	0.025689329	1.515383299	34.25916234	-0.011579102	-0.693530235	-17.04655851
0.033	33	1	0.027221496	1.549019033	33.0155267	-0.01228103	-0.710349725	-16.59473169
0.034	34	1	0.02878667	1.581397876	31.74513202	-0.012999547	-0.726710747	-16.12887115
0.035	35	1	0.030383579	1.612492675	30.44749363	-0.013734187	-0.742595062	-15.64208391
0.036	36	1	0.032010923	1.642269118	29.10983807	-0.01448446	-0.757979531	-15.12969943
0.037	37	1	0.033667381	1.670720381	27.79063652	-0.01524987	-0.772867449	-14.64325418
0.038	38	1	0.035351565	1.697729244	26.25152466	-0.016029866	-0.78715963	-13.9626774
0.039	39	1	0.037062041	1.723301035	24.87409202	-0.016823864	-0.800867747	-13.4364115
0.04	40	1	0.038797438	1.747564545	23.63730201	-0.017631361	-0.814147641	-13.10205391
0.041	41	1	0.040556423	1.770481869	22.21766283	-0.018451894	-0.826946069	-12.52209161
0.042	42	1	0.042337608	1.791967826	20.7586275	-0.019284959	-0.83921394	-12.00649816
0.043	43	1	0.04413955	1.811996674	19.29912177	-0.020130023	-0.850944746	-11.45869288
0.044	44	1	0.045960786	1.830558136	17.82538335	-0.020986539	-0.862118954	-10.89183865
0.045	45	1	0.04779985	1.847651631	16.36060966	-0.021853929	-0.872693759	-10.26449336
0.046	46	1	0.049655232	1.863198164	14.74879502	-0.02273155	-0.882586748	-9.533050562
0.047	47	1	0.05152539	1.877203757	13.24985012	-0.023618742	-0.891833714	-8.944954031
0.048	48	1	0.053408797	1.889694645	11.73382371	-0.024514883	-0.900480382	-8.349230289
0.049	49	1	0.055303935	1.900665074	10.20811119	-0.025419372	-0.908530503	-7.751260573
